#### DATA MINER
Timestamp: 1558426773654
Algorithm: pol1
Max index for prime numbers picking: 2000
Iterations limit: 10000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","6743141","643","10487","true","6598192","2866863","15","10","3308"
"","34096541","5261","6481","true","727861","19530675","90","118","3100961"
"","161335507","12379","13033","true","45464247","108696179","24","13","152787"
"","35929051","5113","7027","true","30543222","3786893","4","50","82386"
"","142085311","11953","11887","true","71253935","37185793","22","106","1362195"
"","47399909","7561","6269","true","27564256","18135689","26","60","191189"
"","58001497","12041","4817","true","23505304","34309835","8","9","15504"
"","144757829","16223","8923","true","55929144","86374420","62","108","128567"
"","42712253","6857","6229","true","8899585","5992217","82","76","482726"
"","9267719","2131","4349","true","2225641","966220","131","33","262084"
"","12310211","5503","2237","true","7201272","6655444","7","10","3267"
"","5942693","397","14969","true","727280","4127982","18","29","304397"
"","948491","101","9391","true","916498","216770","14","9","35152"
"","11475073","12041","953","true","10570446","1201503","10","5","25329"
"","8219089","6337","1297","true","36648","4657859","5","11","11384"
"","231200839","15889","14551","true","156848291","80266378","29","72","1932134"
"","264689","19","13931","true","108042","24176","3","1","652"
"","97216003","15607","6229","true","32921837","51116746","46","38","406168"
"","47221243","8581","5503","true","30040705","45383533","30","98","1265212"
"","24839249","15731","1579","true","23281359","8290333","16","29","110373"
"","27891223","12457","2239","true","24857408","26955351","38","16","16588"
"","7188971","8369","859","true","2031875","6882648","186","6","54982"
"","29661263","2143","13841","true","11506786","28796510","21","29","1651534"
"","9705463","14683","661","true","1986498","6715953","21","18","16982"
"","117209437","11149","10513","true","9700889","19679244","31","112","1191790"
"","63505459","17159","3701","true","54910906","6572145","25","32","722383"
"","144006943","15173","9491","true","19431432","109387130","57","69","686525"
"","40755577","2381","17117","true","34320233","4314132","11","89","163791"
"","68833931","6781","10151","true","39686661","49485206","56","30","912090"
"","48590623","8089","6007","true","3784183","11040639","16","29","395652"
"","59064263","8539","6917","true","35887572","32395121","40","189","78606"
"","32157989","8689","3701","true","4212635","20752404","4","37","45149"
"","29855809","12919","2311","true","23495932","27637244","4","28","122532"
"","724379","73","9923","true","486835","288713","0","6","28"
"","54782461","6263","8747","true","32172862","34175925","7","130","216348"
"","22555097","3041","7417","true","4345202","17050523","2","59","830"
"","11357789","7669","1481","true","4586704","3218260","10","40","9523"
"","65766401","7331","8971","true","39500282","15967772","185","35","129886"
"","73561051","7673","9587","true","62410933","5387457","76","19","412662"
