#### DATA MINER
Timestamp: 1557854309332
Algorithm: pol3
Iterations limit: 10000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

""",n","p","q","success","bInit","b","i","time (µs)"
"","358044574211","682951","524261","true","3","312681602890","157","522"
"","29446600987","1235539","23833","true","3","15142868543","331","1171"
"","67474992073","172859","390347","true","3","26152468307","1613","4574"
"","191294076167","687443","278269","true","3","66313450584","23189","81838"
"","17892951317","31219","573143","true","3","4800826602","43","204"
"","1042313521031","904297","1152623","true","3","912086614359","919","2955"
"","5700668251","5839","976309","true","3","1027436280","139","337"
"","545279667817","517831","1053007","true","3","485581520983","421","1327"
"","502699442359","620671","809929","true","3","211686051261","1217","4394"
"","225071316199","785033","286703","true","3","180917333982","11027","37375"
"","681725076269","777241","877109","true","3","315017331783","127","481"
"","241600355807","313931","769597","true","3","226410050222","1087","4531"
"","32947510307","715457","46051","true","3","22847927345","307","802"
"","842061909193","659783","1276271","true","3","433582441747","179","579"
"","195453886981","320867","609143","true","3","130320132051","43","193"
"","1044381921533","858149","1217017","true","3","605069703964","3517","13117"
"","27266204857","76561","356137","true","3","22785089528","29","139"
"","5671244879","72883","77813","true","3","1144551418","397","1077"
"","10126850417","689699","14683","true","3","7103165545","2447","6536"
"","35567086787","687061","51767","true","3","6399229473","181","502"
"","138936622133","168127","826379","true","3","117037578634","881","2592"
"","767147601833","1225129","626177","true","3","319303932903","1223","4486"
"","63480079099","807193","78643","true","3","16602345625","101","433"
"","73971146303","715243","103421","true","3","49372668296","5171","16964"
"","74413184221","215141","345881","true","3","32176057679","347","950"
"","182627922601","1285759","142039","true","3","135204793516","607","1935"
"","118790871887","377681","314527","true","3","57094828203","89","307"
"","586100326541","863539","678719","true","3","119476941728","337","1146"
"","329064600013","517411","635983","true","3","272597985351","5749","19745"
"","51394646111","526741","97571","true","3","20583285448","887","3112"
"","875044160867","962341","909287","true","3","675198654762","373","1175"
"","135273720893","120851","1119343","true","3","58430823944","919","2634"
"","394273290451","565723","696937","true","3","382667895528","409","1232"
"","179063846177","185711","964207","true","3","134395028489","137","444"
"","381131183527","415559","917153","true","3","91385164132","1453","4978"
"","563842766821","1060391","531731","true","3","313816354105","5581","19920"
"","11756278907","69491","169177","true","3","1743199809","53","140"
"","244033695683","1155293","211231","true","3","80273905700","2347","8471"
"","104300482309","159023","655883","true","3","86741798742","3457","10697"
"","748137706489","609527","1227407","true","3","20317268072","5431","20424"
"","88917645989","1192549","74561","true","3","51329059938","233","751"
"","445681162261","598967","744083","true","3","46874558454","449","1576"
"","626372086133","809443","773831","true","3","487555849406","233","717"
"","382148376109","364451","1048559","true","3","328778900572","197","583"
"","113375072771","277261","408911","true","3","6609637405","397","1088"
"","588927759269","1208843","487183","true","3","286276990418","1231","4031"
"","4376321273","17351","252223","true","3","1796836653","331","887"
"","127977858601","294227","434963","true","3","9659766638","1123","3602"
"","510632733773","477857","1068589","true","3","347015452688","137","433"
"","783286229581","812257","964333","true","3","488328908401","8461","28431"
"","158137439","7951","19889","true","3","135874640","53","208"
"","793471179211","890887","890653","true","3","427514330654","461","1528"
"","505292882923","1293179","390737","true","3","399123778969","24421","94044"
"","97245343879","116329","835951","true","3","61141708098","131","420"
"","17474047141","74219","235439","true","3","3773380854","251","701"
"","438414568181","494843","885967","true","3","69437663626","147661","575103"
"","10272643841","19441","528401","true","3","5998034526","9","44"
"","4272326203","41611","102673","true","3","312741959","31","153"
"","255964430363","657197","389479","true","3","34550292612","467","1533"
"","129602470159","267199","485041","true","3","97206096729","47","203"
"","10705495649","10253","1044133","true","3","9916701601","233","756"
"","696906276349","768221","907169","true","3","501257288512","541","2046"
"","819224457613","1003279","816547","true","3","153630051863","97","365"
"","264376353467","273899","965233","true","3","6696786555","6703","29554"
"","350027831407","438533","798179","true","3","55157361617","673","2034"
"","39425825419","449333","87743","true","3","12337543231","2309","7391"
"","1317484572731","1083113","1216387","true","3","660535848998","67577","257439"
"","970370176661","1271731","763031","true","3","267443757570","42391","156767"
"","85825274189","289273","296693","true","3","1202200037","613","2459"
"","701936856631","1174949","597419","true","3","58729825766","3539","11796"
"","1071056788117","939737","1139741","true","3","443983444336","173","593"
"","17746374133","76463","232091","true","3","17069132596","23209","71385"
"","522854387359","900481","580639","true","3","226693390308","67","209"
"","514646260613","522811","984383","true","3","481460832389","157","499"
"","544234350613","756563","719351","true","3","33257754784","14387","51564"
"","486676643653","518933","937841","true","3","278001394108","617","1860"
"","1491862780039","1243133","1200083","true","3","792305597348","457","1431"
"","1005550757579","995513","1010083","true","3","635181096573","613","2027"
"","500325398983","513397","974539","true","3","421402931762","1097","3527"
"","768024292219","876661","876079","true","3","319106519277","409","1421"
"","610196766713","1197199","509687","true","3","48578743824","293","924"
"","300137223521","687847","436343","true","3","27412766492","114641","417452"
"","985652965919","980321","1005439","true","3","865110735118","557","1865"
"","1291180378583","1045679","1234777","true","3","657348353275","51449","193770"
"","234646981267","701383","334549","true","3","90796933150","9293","31452"
"","470533301009","416291","1130299","true","3","4369390337","313","952"
"","28760008261","55793","515477","true","3","443163800","317","823"
"","1214480919667","974459","1246313","true","3","568739097515","317","1051"
"","41907413231","610157","68683","true","3","38672031834","11447","35381"
"","421723319041","372689","1131569","true","3","300619409955","359","1132"
"","6250398241","82241","76001","true","3","986264978","19","68"
"","540595225921","1019339","530339","true","3","471356624347","7607","27316"
"","140240755217","1242421","112877","true","3","66293099719","20707","69351"
"","258928272047","650971","397757","true","3","241349451164","2411","8040"
"","1413806210711","1161761","1216951","true","3","184700304124","61","192"
"","503422050709","1097141","458849","true","3","423652987456","1103","3796"
"","218273252371","201389","1083839","true","3","105344974789","199","618"
"","539286891181","1113877","484153","true","3","119409559309","20173","72815"
"","97411169201","395953","246017","true","3","91349802356","62","176"
"","561428564657","1197349","468893","true","3","478020035969","883","3057"
"","927137000407","791573","1171259","true","3","324865081277","53239","197683"
"","519447190121","483031","1075391","true","3","156799591097","1789","5770"
"","362315335397","747941","484417","true","3","212723006045","58","239"
"","399208351613","623353","640421","true","3","270974933521","71","213"
"","325664347201","984359","330839","true","3","276185542067","727","2215"
"","335502325211","600601","558611","true","3","310108314331","13","63"
"","316518435557","1165303","271619","true","3","127436370778","1579","4731"
"","146900928869","558769","262901","true","3","136820252926","239","706"
"","48619237411","254699","190889","true","3","34381399569","223","1125"
"","18903018793","68749","274957","true","3","4655132289","337","945"
"","1526760658739","1296481","1177619","true","3","1218633798356","73","240"
"","157042684529","1161481","135209","true","3","80286212645","9679","32274"
"","234250656589","652787","358847","true","3","116070856386","269","889"
"","1352459137153","1085351","1246103","true","3","523015451987","443","1480"
"","840667862863","1289627","651869","true","3","547324146936","257","802"
"","821073414923","1258487","652429","true","3","360789322427","863","2666"
"","1262730155417","1182439","1067903","true","3","249772502166","811","2589"
"","310293275947","488861","634727","true","3","249684778029","24443","85750"
"","1584700798717","1258927","1258771","true","3","976150476310","41959","162398"
"","90831425339","674419","134681","true","3","55413285322","37","113"
"","41947823413","874879","47947","true","3","29293075810","131","348"
"","145006029983","472457","306919","true","3","3607219008","59","172"
"","149345731253","184733","808441","true","3","76613528248","6737","21733"
"","64872386339","332207","195277","true","3","42907856121","389","1359"
"","187737693061","267661","701401","true","3","165409293628","167","468"
"","20514194699","345607","59357","true","3","13781270833","71","244"
"","984227601187","982021","1002247","true","3","664202116112","487","1677"
"","56292903559","711209","79151","true","3","6210345763","1583","5394"
"","772889209201","835987","924523","true","3","165934223644","503","1566"
"","678907596503","644359","1053617","true","3","482945137424","751","2417"
"","223819132177","785311","285007","true","3","171814267136","26177","89056"
"","74627342711","263443","283277","true","3","27635961030","83","280"
"","369113068469","892973","413353","true","3","108778802187","5741","19743"
"","1016304033739","979337","1037747","true","3","458149517993","379","1225"
"","561286086947","434191","1292717","true","3","1537904523","353","1064"
"","58148583223","78041","745103","true","3","2179216885","1951","5422"
"","15049380617","345637","43541","true","3","6598507928","311","809"
"","1343506408663","1113953","1206071","true","3","703782137965","4973","18199"
"","857462425733","943603","908711","true","3","161761862291","58","179"
"","108102328889","879961","122849","true","3","1060555418","349","996"
"","1238016086891","1185343","1044437","true","3","1146729159781","7057","26287"
"","735627181147","767339","958673","true","3","716634910345","419","1287"
"","103395221843","314003","329281","true","3","28299067703","14","48"
"","5554856053","18097","306949","true","3","4936626340","29","97"
"","770739935971","1035341","744431","true","3","507672909192","151","770"
"","31086918253","357169","87037","true","3","10307540172","1063","3115"
"","469628761759","392269","1197211","true","3","225507210452","337","1002"
"","204748261589","648391","315779","true","3","42821686814","21613","75764"
"","604054386101","518341","1165361","true","3","326745579489","163","557"
"","322976991083","1173749","275167","true","3","30314415424","421","1228"
"","260580410813","503947","517079","true","3","246951668146","27997","99400"
"","151790238407","254647","596081","true","3","42030505939","47","147"
"","1240963289141","1107383","1120627","true","3","167596880136","337","1381"
"","88110146207","181397","485731","true","3","14873083221","257","713"
"","183922728641","221941","828701","true","3","139558498270","137","506"
"","397901943641","888287","447943","true","3","36820466658","617","1879"
"","25886194441","86077","300733","true","3","13205502956","797","2804"
"","4154285431","4909","846259","true","3","64042815","409","1353"
"","167176171619","601031","278149","true","3","123833881844","1783","5939"
"","1272993803551","1159843","1097557","true","3","1007074279256","137","532"
"","62983215523","240733","261631","true","3","45097597102","19","74"
"","99240512081","112507","882083","true","3","91684879483","1103","4117"
"","124522193857","512591","242927","true","3","52987044262","3943","12703"
"","6884212613","450803","15271","true","3","3001652490","509","1334"
"","269182244579","215689","1248011","true","3","111435290473","43","205"
"","20829281503","547577","38039","true","3","7060532908","19","74"
"","410349996191","339649","1208159","true","3","194772737998","61","247"
"","172155321179","311203","553193","true","3","103200205252","17","106"
"","367414948889","668719","549431","true","3","274989116639","167","586"
"","175908303581","236461","743921","true","3","110485659079","547","1611"
"","959267576419","1192201","804619","true","3","495724329007","1987","6485"
"","191875457029","210283","912463","true","3","180952306595","347","1046"
"","693614923","99643","6961","true","3","569103517","29","85"
"","415286699329","415097","1000457","true","3","14098354509","89","304"
"","327479416181","736013","444937","true","3","162134152927","18539","66487"
"","777342257617","928903","836839","true","3","638320776832","11909","43957"
"","423520947517","1144277","370121","true","3","335250420107","487","1531"
"","308120762603","933787","329969","true","3","6998972460","503","1727"
