"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","1431293","487","2939","true","837741","742289","4","33","10991"
"","1627949","1031","1579","true","326084","908599","0","28","66"
"","474953","293","1621","true","445960","402193","2","1","831"
"","2438549","2963","823","true","534357","1035104","0","10","55"
"","2336951","829","2819","true","804901","177348","42","35","11186"
"","909563","337","2699","true","88081","839254","12","2","2463"
"","345283","709","487","true","27947","58434","18","14","22630"
"","8412203","2377","3539","true","3068369","7389488","21","67","27498"
"","2732131","2477","1103","true","868399","992249","16","99","6639"
"","6236401","3319","1879","true","3594320","3633779","7","20","614383"
"","3063521","2657","1153","true","162455","2152548","11","48","197127"
"","7798589","3187","2447","true","4714733","2343605","2","71","46002"
"","3381247","3163","1069","true","3034840","1394994","17","56","117101"
"","47573","421","113","true","18376","41428","10","2","562"
"","5737163","2749","2087","true","475257","5292053","1","33","381"
"","1445167","1033","1399","true","1013372","230358","4","9","1709"
"","7550167","2543","2969","true","681805","6391192","17","21","15838"
"","3339199","3011","1109","true","1354567","322088","2","17","453"
"","3570691","1481","2411","true","2563259","2531916","2","61","4824"
"","280283","1163","241","true","92570","45816","7","13","1720"
"","799567","953","839","true","177065","714864","29","19","4560"
"","1301737","1129","1153","true","972350","508844","19","37","27936"
"","1426339","881","1619","true","245152","265415","2","41","35556"
"","3433853","1277","2689","true","3376283","797532","61","54","45292"
"","11219387","3527","3181","true","9982261","6226006","23","58","166231"
"","1631009","607","2687","true","130173","519788","64","6","12336"
"","4711","673","7","true","544","3855","2","1","107"
"","676537","2309","293","true","73358","579369","0","10","32"
"","2692721","1289","2089","true","1806735","1887942","38","51","37574"
"","546191","317","1723","true","138674","93026","8","8","2186"
"","4348427","1367","3181","true","1229917","1722972","5","14","1979"
"","1765069","1187","1487","true","121245","840953","18","6","2197"
"","2524933","2473","1021","true","264573","1933848","9","25","9413"
"","3655213","1979","1847","true","3053226","772181","7","28","141700"
"","830057","3307","251","true","622927","692956","3","16","3167"
"","5465683","3217","1699","true","3315301","3704558","9","19","1560"
"","4316699","3547","1217","true","4103430","627678","30","51","38765"
"","214321","107","2003","true","77629","128240","4","9","392"
"","319559","1433","223","true","104242","319214","42","5","7632"
"","1899433","1543","1231","true","292608","1233092","16","35","22878"
"","401851","1601","251","true","320644","354265","9","54","5147"
"","1420427","839","1693","true","1110339","895328","11","38","7483"
"","728543","241","3023","true","665171","526114","1","13","172"
"","3129157","1013","3089","true","2528661","1750677","16","7","100654"
"","3256873","2393","1361","true","811096","2012859","14","28","13727"
"","3235097","2377","1361","true","2175757","884168","14","28","2351"
"","114293","37","3089","true","63297","83388","3","1","559"
"","5199361","2341","2221","true","4247410","5078465","0","31","77"
"","2826713","1607","1759","true","1348484","2029852","5","3","3046"
"","4583707","1999","2293","true","1727329","3632812","65","2","15722"
"","1703069","2699","631","true","387184","1207680","4","66","12788"
"","422713","2837","149","true","413258","28242","3","14","5078"
"","3259549","2281","1429","true","2627429","2996111","3","2","6277"
"","393259","479","821","true","334735","58879","1","5","132"
"","1016369","487","2087","true","376179","77161","5","33","5817"
"","788131","953","827","true","559936","770821","0","2","26"
"","161131","269","599","true","127950","1561","4","27","963"
"","8311753","2473","3361","true","2005552","959473","4","3","3032"
"","6183781","2087","2963","true","774447","4885837","28","13","18183"
"","2785373","2099","1327","true","2379043","1670425","45","11","60719"
"","316367","257","1231","true","96115","14903","2","15","415"
"","2326561","3457","673","true","1870497","791678","6","9","1827"
"","6416681","2741","2341","true","5505078","5409097","5","31","41807"
"","8020217","2467","3251","true","2816865","5113642","48","71","4101121"
"","2243999","3121","719","true","1843998","949562","41","12","5955"
"","3383","17","199","true","723","1420","1","6","70"
"","898559","1187","757","true","78544","630397","2","26","588"
"","1478989","3167","467","true","995205","1352460","0","4","45"
"","1132493","1439","787","true","264519","107119","57","35","9348"
"","7613423","2287","3329","true","5330221","3713312","34","62","5486399"
"","3763951","2351","1601","true","269312","3245678","0","6","73"
"","3358283","3251","1033","true","116012","2921625","23","63","5048"
"","7698407","2179","3533","true","3911668","5975181","21","18","24757"
"","5101637","2297","2221","true","2022621","2335782","14","101","5379171"
"","1400291","1669","839","true","963577","657342","8","9","79899"
"","4826009","2753","1753","true","2746030","2030250","34","2","4118"
"","4047107","2729","1483","true","1064781","106763","30","58","193083"
"","1723979","2131","809","true","1408669","396444","33","33","9662"
"","4067867","2657","1531","true","1384925","2378544","5","21","1478"
"","3290713","3137","1049","true","3033511","59596","5","23","51414"
"","494489","577","857","true","467436","446011","3","21","342"
