"n","p","q","success","bInit","b","i","time (µs)"
"184998335707","290429","636983","true","3","97027161510","1087","3439"
"167812604207","422203","397469","true","3","132381750651","6397","23695"
"174619689767","472051","369917","true","3","105435423157","1049","3698"
"264574393859","548501","482359","true","3","42693123837","1097","6167"
"208146618769","726533","286493","true","3","10890171917","1069","4933"
"38981554177","358079","108863","true","3","1528545384","79","300"
"216712874143","277297","781519","true","3","74038853595","109","383"
"207400058233","722047","287239","true","3","40608413626","977","3568"
"212107147199","293351","723049","true","3","203531786060","641","2242"
"305352278839","926357","329627","true","3","12141151292","14983","60055"
"243550301833","314117","775349","true","3","206680818959","59","226"
"705278239597","735263","959219","true","3","102978874184","467","1556"
"45970196353","147139","312427","true","3","2970883550","179","489"
"191015489611","615617","310283","true","3","126447769293","599","1802"
"192391549939","892019","215681","true","3","105556006849","337","1603"
"229268421667","473839","483853","true","3","9217116229","523","2122"
"82209275333","323507","254119","true","3","24291235211","1033","3525"
"33283046443","166471","199933","true","3","17233577334","179","491"
"157943165399","476167","331697","true","3","127635612017","1301","4025"
"772799426419","861877","896647","true","3","273270169129","269","904"
"165093442537","240641","686057","true","3","70291476742","47","141"
"147283882183","945479","155777","true","3","68360022659","179","777"
"569620534507","921643","618049","true","3","142692680925","37","349"
"121862111831","198301","614531","true","3","68373193296","661","2476"
"227042078587","565303","401629","true","3","204332726472","1327","4291"
"191971798861","377779","508159","true","3","24989226985","109","388"
"126107133979","160591","785269","true","3","60439546988","101","538"
"64558627141","456119","141539","true","3","47407640504","331","995"
"588234479171","854149","688679","true","3","61029800200","79","235"
"581154655283","610279","952277","true","3","359667318372","2749","11923"
"106298199421","114113","931517","true","3","7884359889","1301","4588"
"96742457017","667507","144931","true","3","79209050649","691","5706"
"49626050197","249677","198761","true","3","31528212853","241","1037"
"144527889757","300367","481171","true","3","140378319653","41","271"
"680107148341","965621","704321","true","3","156526890399","71","348"
"457396231367","781771","585077","true","3","175861731764","103","321"
"44894940787","260413","172399","true","3","4257220907","487","1344"
