#### DATA MINER - 1557737812864
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"883048013735746657","910292839","970070263","true","3","322796504052981481","2441","9551"
"41478385429310023","108719993","381515711","true","3","1433225443560947","51673","188452"
"104337757600193539","223617781","466589719","true","3","47424728681848983","217829","827293"
"558377524866011339","862320593","647528923","true","3","38685991286753229","149269","593838"
"359798551404246587","479011007","751127941","true","3","95242547454813348","24121","92058"
"337227169040589881","776049061","434543621","true","3","8205673180012789","4133","15915"
"299197406621862953","688989479","434255407","true","3","242397954540267334","251","887"
"561259743872364587","996090019","563462873","true","3","31009636037345429","40087","160308"
"418026370870619099","497758739","839817241","true","3","258751083081196915","74761","290734"
"29732505399018067","145580581","204234007","true","3","10974440112558437","334","1083"
"105975979473436213","169499131","625230223","true","3","13442067394768710","29581","109872"
"676590050910181393","689695301","980998493","true","3","28001873100804702","32783","130881"
"86555194139351123","551355829","156986087","true","3","28694441875383523","16427","60759"
"126018477718795561","518100097","243231913","true","3","17895255321085531","601","2057"
"416850619829129821","667736441","624274181","true","3","385704043522638207","30187","117715"
"140003425396355861","302075993","463470877","true","3","38985791420307158","347","1172"
"238559908200847873","345126779","691223987","true","3","219828060812026439","3255913","13206382"
"67082086363501151","293056921","228904631","true","3","14230183826516988","20873","76030"
"298348246221944951","502270469","593999179","true","3","103140160425371182","17938231","74987469"
"233690283788184733","505296653","462481361","true","3","145570640125580416","47777","184796"
"313337262503550427","539921311","580338757","true","3","274060220376120115","1791169","7232723"
"461474220346905917","873137479","528524123","true","3","243358696713591143","827","2953"
"475247370349645063","559447769","849493727","true","3","367600830669594074","5881","22235"
"286172529480921931","733823131","389974801","true","3","213651313795762572","11393","42471"
"316554910789997801","350532727","903068063","true","3","215447920689973397","373","1572"
"107967570507765889","914363231","118079519","true","3","101283748293209986","2633","9259"
"258474185928655157","505371619","511453703","true","3","24124846663936511","413129","1624499"
"529774736442014447","999134701","530233547","true","3","144477727230168553","27211","107708"
"464455173756718427","812441683","571678169","true","3","177458609659979143","709","2588"
"289836235590751303","364391017","795398959","true","3","75719804716589741","701","2513"
"125978801193998539","147882131","851886569","true","3","21597161296674957","409","1421"
"574359916251213311","581609453","987535387","true","3","247795824722409214","355507","1432331"
"66930959204218673","312082751","214465423","true","3","45577860346881466","15467","54979"
"405265319764720309","472143743","858351563","true","3","210652341966832497","641","2382"
"125870621188575937","752482813","167273749","true","3","2486722498277566","516277","2004635"
"211450169680305097","297039887","711857831","true","3","63848618855569890","1038601","4125011"
"23034296513297627","204118547","112847641","true","3","17067211852075714","1931","7423"
"76045654991118899","253689169","299759171","true","3","31367676359090901","1721","6057"
"478747388618509711","861512447","555705713","true","3","5778375265787946","53681","209728"
"170378034183348713","295837259","575918107","true","3","39600281441517471","3709","13013"
"251337573273593041","575356693","436837837","true","3","191531307187650466","254","859"
"527809427759492497","540805957","975968221","true","3","71070799315383674","16266137","68845039"
"144044518624475783","563430727","255656129","true","3","96573342408422355","6271","22610"
"164460302088935771","270961057","606951803","true","3","121244990817530088","4219","14851"
"124077217951272221","133089721","932282501","true","3","87902781374005695","139","462"
"175640391495493229","805505161","218049989","true","3","4554568637347462","1097","3805"
"219675018113979721","462909917","474552413","true","3","210328175417584923","881","3469"
"608044403464609861","670739917","906527833","true","3","24883109341200898","12637","49673"
"432841074621711347","870595559","497178133","true","3","364943718743302898","15017","58977"
"795778709438344481","927167837","858289813","true","3","685782452469462681","2803","10613"
"776271223748647279","815158549","952294771","true","3","611444515579545954","35153","142390"
"279243576925793309","333287939","837844831","true","3","84063374438243209","23981","91085"
"279421311579254743","477346589","585363587","true","3","105158728021432473","220559","863386"
"60608314262768263","385886741","157062443","true","3","44483349911684284","1134961","4356156"
"36358333740646111","204007801","178220311","true","3","27653417163658184","8293","29846"
"79166404410012317","147219437","537744241","true","3","16925694648890243","1579","11827"
"488996588400173233","567620693","861484781","true","3","63846395410348022","144061","568069"
"158146527216438653","292714547","540275599","true","3","144628102122775893","28097","105059"
"440183848844971811","871353409","505172579","true","3","78523211434325785","16871","65966"
"115435832616070289","352402879","327567791","true","3","66356476931707616","113","401"
"278704335215805589","638270161","436655749","true","3","269785483716096276","709","2529"
"183916158999413987","653282153","281526379","true","3","8111358583173668","11617","43835"
"279694663074154673","916258069","305257517","true","3","74298284714430512","811","2950"
"108587163972006997","272616931","398314087","true","3","37670600911811434","127","445"
"304189720053180197","865581323","351428239","true","3","85808646044810826","10069","38862"
"420414826596312943","972274313","432403511","true","3","62129784323508097","4099","15293"
"633068216438111413","858643277","737288969","true","3","441671422323336409","2069","8286"
"156598899102750287","179166137","874042951","true","3","105468669741757372","26317","100081"
"154462807952469193","737770373","209364341","true","3","125889063956261041","8353","31775"
"530070774202032779","733127249","723026971","true","3","516409571808206679","8647","32723"
"180158097457553077","626681051","287479727","true","3","165611256667724017","110917","421828"
"914832290044017991","993073771","921212821","true","3","560896315324615698","94309","376253"
